scenario_id,object_id,n_valid_steps,pose_minADE,npose_minADE,ade_delta,ade_delta_pct,pose_minFDE,npose_minFDE,fde_delta,fde_delta_pct
1bb085667eadc231,464,80,0.8629074,1.8201408,0.9572334,52.591175,1.4885044,3.0001924,1.511688,50.386368
662d7e4ded8de553,3159,80,0.9618474,1.9188118,0.9569644,49.87276,2.3102598,4.1046143,1.7943544,43.71554
497c59c0beee7859,1474,80,0.2529405,1.2095314,0.9565909,79.08772,0.5178909,2.6237948,2.1059039,80.261765
3282b7210eb668f5,1262,80,1.0029445,1.9588782,0.9559337,48.800056,2.2991767,4.2092094,1.9100327,45.37747
36632ac939549826,1280,43,0.25328693,1.2073958,0.95410883,79.02204,0.40068313,2.8910143,2.4903312,86.140396
e6bc797c0b9ff9b9,854,78,0.3301308,1.2764853,0.9463545,74.13751,0.43736756,2.5108657,2.0734982,82.58101
fcd0472aa3fb5380,75,77,0.4272202,1.372851,0.9456308,68.880806,0.8623946,2.8015208,1.9391263,69.21691
b097409cff1c4629,4643,80,1.2077157,2.152109,0.94439316,43.88222,2.5186331,4.8097076,2.2910745,47.63438
4979ec60d0f56fd8,2206,80,2.7335057,3.6740804,0.94057465,25.600275,6.805222,8.81828,2.0130582,22.828241
7d1368aa79ab7914,4069,80,0.3367223,1.2768446,0.9401223,73.62856,0.7259374,2.8640625,2.1381252,74.65358
34d8cf51fb3fa674,3706,80,0.27081105,1.2100408,0.9392297,77.619675,0.48359567,2.4957259,2.0121303,80.62305
60c4de02c26c2da7,3447,80,1.3593439,2.297463,0.93811905,40.832825,2.6321027,4.486284,1.854181,41.329998
4061bab692bcbf80,3329,80,0.7754173,1.7111727,0.9357554,54.68503,1.6350796,3.6581287,2.023049,55.30284
21d0aea8d84b83f8,1040,80,0.9241748,1.8590845,0.9349097,50.28871,2.2144349,4.086211,1.8717763,45.807137
449495eb04178e2d,143,72,0.6921986,1.6270771,0.9348785,57.457542,1.3396444,3.173615,1.8339705,57.788063
64f73dc1cc0db186,13,80,0.41940767,1.3510939,0.9316862,68.95792,0.87594473,2.8839946,2.00805,69.62739
eb786ab2ed1c47fe,1611,77,0.5361632,1.4657263,0.92956305,63.41996,1.049369,3.0549226,2.0055537,65.6499
2c8f1d0a33a16a1f,3469,78,0.32241407,1.2512352,0.9288212,74.23234,0.6638011,2.7030058,2.0392046,75.44211
97a0571d3800d4c0,3476,80,0.55657536,1.4851593,0.9285839,62.5242,1.2624513,3.2363236,1.9738723,60.99119
15dd723e2f0475cf,4367,78,0.41534653,1.3425748,0.92722833,69.06344,1.0282968,2.9541237,1.9258269,65.19114
7eb7d2549f248a83,454,80,0.3476118,1.2726343,0.9250225,72.685646,0.68315625,2.5713787,1.8882225,73.4323
18ac1d042cd1e81,4662,80,0.4132999,1.3382343,0.9249344,69.11603,0.50249374,2.5901358,2.0876422,80.59972
